Case Reference,Judgment Date,Claim Number,Court Costs,Enforcement Costs,Solicitor Costs,Claim Amount with Judgment Interest,Fixed Costs on Judgment,Interest Post Judgment,Execution Costs,Payments since Judgment,Balance for Enforcement,Balance for Interest Calculation,Deductions since Judgment,Judgment Debtor1 Name,Debtor1 PersonalAddr1,Debtor1 PersonalAddr2,Debtor1 PersonalAddr3,Debtor1 PersonalCounty,Debtor1 PersonalPostcode,Debtor1 Registered Office Address1,Debtor1 Registered Office Address2,Debtor1 Registered Office Address3,Debtor1 Registered Office AddressCounty,Debtor1 Registered Office AddressPostcode,Debtor1 Telephone,Debtor1 Mobile,Debtor1 Email Address,Debtor1 Fax,Judgment Debtor2 Name,Debtor2 PersonalAddr1,Debtor2 PersonalAddr2,Debtor2 PersonalAddr3,Debtor2 PersonalCounty,Debtor2 PersonalPostcode,Debtor2 Registered Office Address1,Debtor2 Registered Office Address2,Debtor2 Registered Office Address3,Debtor2 Registered Office AddressCounty,Debtor2 Registered Office AddressPostcode,Debtor2 Telephone,Debtor2 Mobile,Debtor2 Email Address,Debtor2 Fax,Court,Notes,Claimant,Creditor Title,Creditor Initial,Creditor Surname,Creditor PersonalAddr1,Creditor PersonalAddr2,Creditor PersonalAddr3,Creditor PersonalCounty,Creditor PersonalPostcode,Account Number,Supply Period,Interest Rate,Assessed Costs,Debtor1 Work Phone,Debtor1 Other Phone,Debtor2 Work Phone,Debtor2 Other Phone,Client_File_Name,Client_Original_Data
CMC01-5464,28/10/2023,CTLU03CA464,,,,8011.67,479,,,0,8490.67,8490.67,0,Ethan Johnson, 40 Upton Drive ,  Timperley ,  ,  , WA14 5QP ,  ,  ,  ,  ,  ,7572554478,7572554478, ai4hrtesting@gmail.com ,7572554478,,,,,,,,,,  ,  ,  ,  ,  ,  , Nottingham ,  , Severn Trent Water ,  , SEVERN TRENT WATER LTD , SEVERN TRENT WATER LTD , PO Box 567 , Town Hall ,  , Middlesbrough , TS1 9FX ,YM44KA89,,8%,0,7572554478,7572554478,,,BI Accounts 100923.xls,Dummy Client Orginal data
CMC01-5465,26/10/2023,CTLU03CA465,,,,9269.67,249,,,0,9518.67,9518.67,0,Olivia Smith, 7 Hursley Close ,  Bournemouth ,  ,  , BH7 6SE ,  ,  ,  ,  ,  ,7572554478,7572554478, ai4hrtesting@gmail.com ,7572554478,,,,,,,,,,  ,  ,  ,  ,  ,  , London ,  , Severn Trent Water ,  , SEVERN TRENT WATER LTD , SEVERN TRENT WATER LTD , PO Box 568 , Town Hall ,  , Middlesbrough , TS1 9FX ,GR06PI54,,8%,0,7572554478,7572554478,,,BI Accounts 100923.xls,Dummy Client Orginal data
CMC01-5466,25/10/2023,CTLU03CA466,,,,4016.52,283,,,0,4299.52,4299.52,0,Liam Miller, 45 Lockton Close ,  Manchester ,  ,  , M1 7JG ,  ,  ,  ,  ,  ,7572554478,7572554478, ai4hrtesting@gmail.com ,7572554478,,,,,,,,,,  ,  ,  ,  ,  ,  , Bristol ,  , Severn Trent Water ,  , SEVERN TRENT WATER LTD , SEVERN TRENT WATER LTD , PO Box 569 , Town Hall ,  , Middlesbrough , TS1 9FX ,ZR24WD59,,8%,0,7572554478,7572554478,,,BI Accounts 100923.xls,Dummy Client Orginal data
CMC01-5467,11/10/2023,CTLU03CA467,,,,9044.37,326,,,2804.29,6566.08,6566.08,0,Ava Davis, 6 Bullfields ,  Sawbridgeworth ,  ,  , CM21 9DB ,  ,  ,  ,  ,  ,7572554478,7572554478, ai4hrtesting@gmail.com ,7572554478,,,,,,,,,,  ,  ,  ,  ,  ,  , Manchester ,  , Severn Trent Water ,  , SEVERN TRENT WATER LTD , SEVERN TRENT WATER LTD , PO Box 570 , Town Hall ,  , Middlesbrough , TS1 9FX ,MT24YV81,,8%,0,7572554478,7572554478,,,BI Accounts 100923.xls,Dummy Client Orginal data
CMC01-5468,28/10/2023,CTLU03CA468,,,,2641.19,244,,,0,2885.19,2885.19,0,Noah Anderson, 117 Stuart Road ,  Aylsham ,  ,  , NR11 6HN ,  ,  ,  ,  ,  ,7572554478,7572554478, ai4hrtesting@gmail.com ,7572554478,,,,,,,,,,  ,  ,  ,  ,  ,  , Nottingham ,  , Severn Trent Water ,  , SEVERN TRENT WATER LTD , SEVERN TRENT WATER LTD , PO Box 571 , Town Hall ,  , Middlesbrough , TS1 9FX ,MK92QD65,,8%,0,7572554478,7572554478,,,BI Accounts 100923.xls,Dummy Client Orginal data
CMC01-5469,13/10/2023,CTLU03CA469,,,,7076.09,217,,,0,7293.09,7293.09,0,Emma Taylor, 8 Stryd Y Barcud ,  Ruthin ,  ,  , LL15 1QD ,  ,  ,  ,  ,  ,7572554478,7572554478, ai4hrtesting@gmail.com ,7572554478,,,,,,,,,,  ,  ,  ,  ,  ,  , London ,  , Severn Trent Water ,  , SEVERN TRENT WATER LTD , SEVERN TRENT WATER LTD , PO Box 572 , Town Hall ,  , Middlesbrough , TS1 9FX ,HG20AZ84,,8%,0,7572554478,7572554478,,,BI Accounts 100923.xls,Dummy Client Orginal data
CMC01-5470,15/10/2023,CTLU03CA470,,,,4331.94,226,,,0,4557.94,4557.94,0,Sophia Brown, 54 Elmer Road ,  London ,  ,  , SE6 2ER ,  ,  ,  ,  ,  ,7572554478,7572554478, ai4hrtesting@gmail.com ,7572554478,,,,,,,,,,  ,  ,  ,  ,  ,  , Leeds ,  , Severn Trent Water ,  , SEVERN TRENT WATER LTD , SEVERN TRENT WATER LTD , PO Box 574 , Town Hall ,  , Middlesbrough , TS1 9FX ,JW98KU38,,8%,0,7572554478,7572554478,,,BI Accounts 100923.xls,Dummy Client Orginal data
CMC01-5471,20/10/2023,CTLU03CA471,,,,1992.22,233,,,0,2225.22,2225.22,0,Jackson Martinez, Flat 8 ,  Granary Court ,  1 Millstone Close ,  , E15 1PD ,  ,  ,  ,  ,  ,7572554478,7572554478, ai4hrtesting@gmail.com ,7572554478,,,,,,,,,,  ,  ,  ,  ,  ,  , Birmingham ,  , Severn Trent Water ,  , SEVERN TRENT WATER LTD , SEVERN TRENT WATER LTD , PO Box 575 , Town Hall ,  , Middlesbrough , TS1 9FX ,VS19FS55,,8%,0,7572554478,7572554478,,,BI Accounts 100923.xls,Dummy Client Orginal data
CMC01-5472,21/10/2023,CTLU03CA472,,,,789.93,204,,,0,993.93,993.93,0,mr Aiden Harris mr Jackson Martinez, Flat 10 ,  Murre House ,  19 Stone Close ,  , BH15 4GE ,  ,  ,  ,  ,  ,7572554478,7572554478, ai4hrtesting@gmail.com ,7572554478,,,,,,,,,,  ,  ,  ,  ,  ,  , Birmingham ,  , Severn Trent Water ,  , SEVERN TRENT WATER LTD , SEVERN TRENT WATER LTD , PO Box 576 , Town Hall ,  , Middlesbrough , TS1 9FX ,PJ25FU68,,8%,0,7572554478,7572554478,,,BI Accounts 100923.xls,Dummy Client Orginal data
CMC01-5473,24/10/2023,CTLU03CA473,,,,4990.87, 254.00 ,,,0,5244.87,5244.87 ,0, Erin Hawkins , Laurel Cottage ,  Northover Lane ,  Tiptoe ,  , SO41 6FS ,  ,  ,  ,  ,  , 07572554478 , 07572554478 , ai4hrtesting@gmail.com , 07572554478 , Harriet Glover , Laurel Cottage ,  Northover Lane ,  Tiptoe ,  , SO41 6FS ,  ,  ,  ,  ,  ,  ,  ,  ,  , Manchester ,  , Severn Trent Water ,  , SEVERN TRENT WATER LTD , SEVERN TRENT WATER LTD , PO Box 598 , Town Hall ,  , Middlesbrough , TS1 9FX ,UY42BK68,,8%,0,07572554478,07572554478,,,BI Accounts 100923.xls,Dummy Client Orginal data
